"seqnames","start","end","width","strand","pval","pvalAdj","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","gene_id","symbol","genename"
"chr1",16102801,16103000,200,"*",3.71928042724402e-22,4.48004233281666e-22,"1","19989",16101295,16104433,3139,"-",0,"inside",0,"19989","Rpl7","ribosomal protein L7"
"chr1",24612001,24612200,200,"*",3.70121613554923e-07,3.92328910368218e-07,"2","12823",24257683,24587437,329755,"-",24563,"upstream",24563,"12823","Col19a1","collagen, type XIX, alpha 1"
"chr1",34814801,34815400,600,"*",1.69370753545224e-122,5.98443329193124e-122,"4","214469",34813218,34843050,29833,"-",0,"inside",0,"214469","Fam168b","family with sequence similarity 168, member B"
"chr1",34819601,34819800,200,"*",8.18948671410548e-102,2.41134886581995e-101,"6","214469",34813218,34843050,29833,"-",0,"inside",0,"214469","Fam168b","family with sequence similarity 168, member B"
"chr1",39371001,39371200,200,"*",3.41321541902329e-79,6.46072918600837e-79,"8","114641",39367851,39371911,4061,"+",0,"inside",0,"114641","Rpl31","ribosomal protein L31"
"chr1",43189601,43189800,200,"*",1.25265699425276e-06,1.30178079794894e-06,"9","14200",43123071,43196761,73691,"-",0,"inside",0,"14200","Fhl2","four and a half LIM domains 2"
"chr1",46415401,46415600,200,"*",3.80326904482254e-92,8.76405475546065e-92,"11","100101919",46425518,46807477,381960,"+",9917,"upstream",9917,"100101919","Dnah7c","dynein, axonemal, heavy chain 7C"
"chr1",54998001,54998200,200,"*",3.7095383906104e-96,9.36216831915958e-96,"14","81898",54985169,55027478,42310,"-",0,"inside",0,"81898","Sf3b1","splicing factor 3b, subunit 1"
"chr1",55006201,55006400,200,"*",1.55062883693578e-100,4.32543833461035e-100,"15","81898",54985169,55027478,42310,"-",0,"inside",0,"81898","Sf3b1","splicing factor 3b, subunit 1"
"chr1",55079001,55079200,200,"*",1.10585978689106e-90,2.44210702938442e-90,"16","15510",55077834,55087932,10099,"-",0,"inside",0,"15510","Hspd1","heat shock protein 1 (chaperonin)"
"chr1",55082001,55082200,200,"*",6.73056858986309e-74,1.18906711754248e-73,"18","15510",55077834,55087932,10099,"-",0,"inside",0,"15510","Hspd1","heat shock protein 1 (chaperonin)"
"chr1",55090601,55090800,200,"*",3.60402329951862e-238,6.36710782914956e-237,"20","15528",55088148,55091317,3170,"+",0,"inside",0,"15528","Hspe1","heat shock protein 1 (chaperonin 10)"
