"seqnames","start","end","width","strand","pval","pvalAdj","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","gene_id","symbol","genename"
"chr1",12848001,12848220,220,"*",0,0,"1","240725",12692430,12860372,167943,"+",0,"inside",0,"240725","Sulf1","sulfatase 1"
"chr1",20804741,20804960,220,"*",0,0,"3","17215",20803014,20820213,17200,"-",0,"inside",0,"17215","Mcm3","minichromosome maintenance complex component 3"
"chr1",38037121,38037340,220,"*",0,0,"5","226982",37998010,38055579,57570,"+",0,"inside",0,"226982","Eif5b","eukaryotic translation initiation factor 5B"
"chr1",39997101,39997320,220,"*",0,0,"6","26921",39900913,40026310,125398,"+",0,"inside",0,"26921","Map4k4","mitogen-activated protein kinase kinase kinase kinase 4"
"chr1",44821261,44821480,220,"*",0,0,"8","70676",44551671,44796836,245166,"+",24424,"downstream",24424,"70676","Gulp1","GULP, engulfment adaptor PTB domain containing 1"
"chr1",45321541,45321760,220,"*",0.000846940859262296,0.000846940859262296,"9","12825",45311538,45349706,38169,"+",0,"inside",0,"12825","Col3a1","collagen, type III, alpha 1"
"chr1",45338481,45338700,220,"*",0,0,"11","12825",45311538,45349706,38169,"+",0,"inside",0,"12825","Col3a1","collagen, type III, alpha 1"
"chr1",45340241,45340460,220,"*",0,0,"13","12825",45311538,45349706,38169,"+",0,"inside",0,"12825","Col3a1","collagen, type III, alpha 1"
"chr1",45342001,45342220,220,"*",0,0,"15","12825",45311538,45349706,38169,"+",0,"inside",0,"12825","Col3a1","collagen, type III, alpha 1"
"chr1",45347501,45347720,220,"*",0,0,"17","12825",45311538,45349706,38169,"+",0,"inside",0,"12825","Col3a1","collagen, type III, alpha 1"
"chr1",45389301,45389520,220,"*",0,0,"19","12832",45374331,45503282,128952,"-",0,"inside",0,"12832","Col5a2","collagen, type V, alpha 2"
"chr1",54998021,54998240,220,"*",0,0,"21","81898",54985169,55027478,42310,"-",0,"inside",0,"81898","Sf3b1","splicing factor 3b, subunit 1"
"chr1",59484921,59485140,220,"*",0,0,"22","14369",59482147,59486955,4809,"+",0,"inside",0,"14369","Fzd7","frizzled class receptor 7"
"chr1",59486021,59486240,220,"*",0,0,"23","14369",59482147,59486955,4809,"+",0,"inside",0,"14369","Fzd7","frizzled class receptor 7"
"chr1",71648061,71648280,220,"*",0,0,"24","14268",71585473,71653234,67762,"-",0,"inside",0,"14268","Fn1","fibronectin 1"
"chr1",72873901,72874120,220,"*",1.51024479068652e-150,1.54536676256296e-150,"26","16011",72858065,72874865,16801,"-",0,"inside",0,"16011","Igfbp5","insulin-like growth factor binding protein 5"
"chr1",84743781,84744000,220,"*",0,0,"27","14897",84721189,84840516,119328,"-",0,"inside",0,"14897","Trip12","thyroid hormone receptor interactor 12"
"chr1",86351321,86351540,220,"*",0,0,"29","17975",86344719,86359455,14737,"-",0,"inside",0,"17975","Ncl","nucleolin"
"chr1",93507701,93507920,220,"*",0,0,"31","18000",93478993,93509733,30741,"+",0,"inside",0,"18000","Sept2","septin 2"
"chr1",131930921,131931140,220,"*",0,0,"34","98415",131910458,131936321,25864,"+",0,"inside",0,"98415","Nucks1","nuclear casein kinase and cyclin-dependent kinase substrate 1"
"chr1",131932461,131932680,220,"*",0,0,"36","98415",131910458,131936321,25864,"+",0,"inside",0,"98415","Nucks1","nuclear casein kinase and cyclin-dependent kinase substrate 1"
"chr1",131933121,131933340,220,"*",0,0,"38","98415",131910458,131936321,25864,"+",0,"inside",0,"98415","Nucks1","nuclear casein kinase and cyclin-dependent kinase substrate 1"
"chr1",131934001,131934220,220,"*",0,0,"40","98415",131910458,131936321,25864,"+",0,"inside",0,"98415","Nucks1","nuclear casein kinase and cyclin-dependent kinase substrate 1"
"chr1",131934441,131934660,220,"*",0,0,"42","98415",131910458,131936321,25864,"+",0,"inside",0,"98415","Nucks1","nuclear casein kinase and cyclin-dependent kinase substrate 1"
"chr1",131935101,131935320,220,"*",0,0,"44","98415",131910458,131936321,25864,"+",0,"inside",0,"98415","Nucks1","nuclear casein kinase and cyclin-dependent kinase substrate 1"
"chr1",131935541,131935760,220,"*",0,0,"46","98415",131910458,131936321,25864,"+",0,"inside",0,"98415","Nucks1","nuclear casein kinase and cyclin-dependent kinase substrate 1"
"chr1",134631201,134631420,220,"*",0,0,"48","75605",134560178,134632878,72701,"+",0,"inside",0,"75605","Kdm5b","lysine (K)-specific demethylase 5B"
"chr1",135232241,135232460,220,"*",1.98558042933616e-192,2.08013187835217e-192,"50","13710",135253574,135258472,4899,"-",21113,"downstream",21113,"13710","Elf3","E74-like factor 3"
"chr1",150440401,150440620,220,"*",0,0,"51","108989",150392838,150449935,57098,"+",0,"inside",0,"108989","Tpr","translocated promoter region, nuclear basket protein"
"chr1",151363081,151363520,440,"*",0,0,"53","117198",151344498,151364445,19948,"+",0,"inside",0,"117198","Ivns1abp","influenza virus NS1A binding protein"
"chr1",153219881,153220100,220,"*",0,0,"55","226519",153218922,153332786,113865,"-",0,"inside",0,"226519","Lamc1","laminin, gamma 1"
"chr1",153239241,153239460,220,"*",0,0,"57","226519",153218922,153332786,113865,"-",0,"inside",0,"226519","Lamc1","laminin, gamma 1"
"chr1",153459461,153459680,220,"*",0,0,"59","13211",153455758,153487660,31903,"-",0,"inside",0,"13211","Dhx9","DEAH (Asp-Glu-Ala-His) box polypeptide 9"
"chr1",153483661,153483880,220,"*",0,0,"61","13211",153455758,153487660,31903,"-",0,"inside",0,"13211","Dhx9","DEAH (Asp-Glu-Ala-His) box polypeptide 9"
"chr1",162672401,162672840,440,"*",0,0,"62","226562",162671785,162740556,68772,"-",0,"inside",0,"226562","Prrc2c","proline-rich coiled-coil 2C"
"chr1",162697481,162698140,660,"*",0,0,"64","226562",162671785,162740556,68772,"-",0,"inside",0,"226562","Prrc2c","proline-rich coiled-coil 2C"
"chr1",162705621,162705840,220,"*",0,0,"66","226562",162671785,162740556,68772,"-",0,"inside",0,"226562","Prrc2c","proline-rich coiled-coil 2C"
"chr1",162706061,162706280,220,"*",0,0,"68","226562",162671785,162740556,68772,"-",0,"inside",0,"226562","Prrc2c","proline-rich coiled-coil 2C"
"chr1",168153921,168154140,220,"*",0,0,"70","18514",168119364,168432169,312806,"-",0,"inside",0,"18514","Pbx1","pre B cell leukemia homeobox 1"
"chr1",178328701,178328920,220,"*",0,0,"72","51810",178322166,178337784,15619,"-",0,"inside",0,"51810","Hnrnpu","heterogeneous nuclear ribonucleoprotein U"
"chr1",178333541,178333980,440,"*",0,0,"73","51810",178322166,178337784,15619,"-",0,"inside",0,"51810","Hnrnpu","heterogeneous nuclear ribonucleoprotein U"
